from_bed,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,mcdowell_2021_14n,mcdowell_2021_14sa,mcdowell_2021_14sb,mcdowell_2021_14w,mcdowell_2021_15ca,mcdowell_2021_15cb,mcdowell_2021_15e,mcdowell_2021_15n,mcdowell_2021_15s,meighen,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,tuto_ramp
0,-16.7400,-19.0400,-19.0500,-19.1000,-13.0032,,,-18.4158,,,,,-8.5687,-0.4669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.9600,-3.6054,,-12.0600,-19.5767,,,-1.1000,,-0.2000,-10.5356
1,-16.7580,-19.0560,-19.0680,-19.1260,-13.0239,,,-18.4421,,,,,-8.5962,-0.4334,,,,,-0.3221,,,,,,-16.0029,-1.5449,,,,,,,,,,,-0.5125,-0.5019,,,,,,-15.9814,-3.6167,,-12.0631,-19.5829,,,-1.1000,,-0.3000,-10.5486
2,-16.7760,-19.0720,-19.0860,-19.1520,-13.0446,,,-18.4683,,,,,-8.6237,-0.3999,,,,,-0.3214,,-0.4848,,,,-16.0184,-1.6291,-2.3284,,,,,,,,,-0.5723,-0.5368,-0.5199,,,,,,-16.0029,-3.6281,,-12.0663,-19.5890,,,-1.1000,,-0.4000,-10.5616
3,-16.7940,-19.0880,-19.1040,-19.1780,-13.0653,,,-18.4946,,,,,-8.6512,-0.3664,,,,,-0.3208,,-0.4925,,,,-16.0338,-1.7132,-2.3276,,,,,,,,,-0.5967,-0.5612,-0.5380,,,,,,-16.0243,-3.6395,,-12.0694,-19.5952,,,-1.1000,,-0.5000,-10.5747
4,-16.8120,-19.1040,-19.1220,-19.2040,-13.0859,,,-18.5208,,,,,-8.6787,-0.4816,,,,,-0.3201,,-0.5003,,,,-16.0492,-1.7974,-2.3268,-1.1893,,,,,,,,-0.6210,-0.5855,-0.5561,,,,,,-16.0457,-3.6508,,-12.0725,-19.6014,,,-1.1000,,-0.6000,-10.5877
5,-16.8300,-19.1200,-19.1400,-19.2300,-13.1066,,,-18.5471,,,,,-8.7054,-0.5967,,,,,-0.3194,,-0.5080,,,,-16.0646,-1.8816,-2.3259,-1.1889,-1.4795,,,,,,,-0.6453,-0.6098,-0.5742,-0.6308,-0.5085,-0.9394,-0.7352,-0.8223,-16.0671,-3.6645,,-12.0756,-19.6075,,,-1.1000,,-0.7000,-10.6008
6,-16.8480,-19.1520,-19.1680,-19.2520,-13.1273,,,-18.5733,,,,,-8.7320,-0.5245,,,,-0.3374,-0.3188,,-0.5158,,,,-16.0800,-1.9658,-2.3251,-1.1886,-1.4900,,,,,,,-0.6697,-0.6342,-0.5923,-0.6489,-0.5266,-0.9887,-0.7720,-0.8592,-16.0886,-3.6781,,-12.0787,-19.6137,,,-1.1000,,-0.6933,-10.6138
7,-16.8660,-19.1840,-19.1960,-19.2740,-13.1480,,,-18.5996,,,,,-8.7587,-0.4523,,,,-0.3364,-0.3181,,-0.5235,,,,-16.0955,-2.0499,-2.3243,-1.1882,-1.5005,,,,,,,-0.6940,-0.6585,-0.6104,-0.6670,-0.5447,-1.0380,-0.8089,-0.8960,-16.1100,-3.6918,,-12.0819,-19.6281,,,-1.1000,,-0.6867,-10.6268
8,-16.8840,-19.2160,-19.2240,-19.2960,-13.1687,,,-18.6258,-13.2212,,,,-8.7853,-0.3801,,,,-0.3355,-0.3175,,-0.5313,,,,-16.1109,-2.1341,-2.3235,-1.1878,-1.5110,,-0.2117,,,,,-0.7183,-0.6828,-0.6284,-0.6851,-0.5628,-1.0874,-0.8457,-0.9328,-16.1280,-3.7054,,-12.0850,-19.6424,,,-1.1000,,-0.6800,-10.6399
9,-16.9020,-19.2480,-19.2520,-19.3180,-13.1893,,,-18.6521,-13.2298,,,,-8.8120,-0.4422,,,,-0.3345,-0.3168,,-0.5391,,,,-16.1263,-2.2183,-2.3227,-1.1875,-1.5215,,-0.2379,,,,,-0.7427,-0.7072,-0.6465,-0.7032,-0.5808,-1.1367,-0.8825,-0.9697,-16.1460,-3.7191,,-12.0881,-19.6568,,,-1.1000,,-0.6733,-10.6529
