normalized,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,m2020_14n,m2020_14sa,m2020_14sb,m2020_14w,m2020_15ca,m2020_15cb,m2020_15e,m2020_15n,m2020_15s,meighan,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,tuto_ramp
0.0000,-16.7400,-19.0400,-19.0500,-19.1000,-13.0032,,,-18.4158,,,,,,-0.4669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.9600,,,-12.0600,-19.5767,,,-1.1000,,-0.2000,-10.5356
0.0100,-16.7940,-19.0560,-19.0680,-19.1260,-13.2928,,,-18.4946,-13.3238,,,,-9.3761,-0.4523,,,,,-0.3194,,-0.5235,,,,-16.0338,-1.7132,,,,,,,-1.2433,,,-0.2775,,-0.1910,-0.2113,-0.0936,-0.6232,-0.3939,-0.4467,-15.9814,-4.0624,,-12.0663,-19.5890,,,-1.1000,,-0.6000,-10.5356
0.0200,-16.8660,-19.0880,-19.1040,-19.1780,-13.5240,,,-18.5733,-13.4886,,,-9.4292,-10.2187,-0.5136,,,,-0.3345,-0.3168,-0.6399,-0.5778,-0.5235,,,-16.0955,-1.9658,-2.3284,,,,,,-1.9806,,-0.4236,-0.4093,-0.3933,-0.4216,-0.3289,-0.2032,-0.8726,-0.6181,-0.6752,-16.0029,-4.7172,,-12.0725,-19.6014,,,-1.1000,,-0.6867,-10.5486
0.0300,-16.9200,-19.1040,-19.1220,-19.2040,-13.7556,,,-18.6521,-13.7048,,,-10.1396,-11.0334,-0.6220,,,,-0.3296,-0.3135,-0.6399,-0.6321,-0.5235,-1.5400,,-16.1417,-2.2183,-2.3276,-1.1893,,,-0.2379,,-2.8303,,-0.6929,-0.5314,-0.5914,-0.7500,-0.4950,-0.3405,-1.1630,-0.9659,-0.9071,-16.0457,-5.3468,,-12.0756,-19.6075,,,-1.1000,,-0.6667,-10.5486
0.0400,-17.0320,-19.1520,-19.1680,-19.2300,-14.0046,,,-18.7331,-13.9370,,-0.4566,-10.9000,-11.8257,-0.6009,,,,-0.3247,-0.3108,-0.6399,-0.6727,-0.5235,-1.8052,,-16.2034,-2.4524,-2.3268,-1.1889,,,-0.3167,-2.7405,-4.7096,-0.6787,-0.9402,-0.7031,-0.7452,-0.8779,-0.6588,-0.4779,-1.4272,-1.2249,-1.1122,-16.0671,-6.0524,,-12.0819,-19.6281,,,-1.1133,,-0.6400,-10.5616
0.0500,-17.1240,-19.1840,-19.1960,-19.2520,-14.2441,,,-18.8141,-14.1898,,-0.6429,-11.6750,-12.6287,-0.7746,,,,-0.3208,-0.3075,-0.6387,-0.6309,-0.5381,-2.0704,,-16.2498,-2.6023,-2.3259,-1.1886,-1.4795,,-0.3955,-3.2421,-6.6495,-1.0407,-1.2477,-0.9334,-0.9456,-1.0986,-0.9172,-0.7336,-1.8261,-1.5307,-1.4581,-16.0886,-6.7728,,-12.0881,-19.6568,,,-1.1333,,-0.6133,-10.5616
0.0600,-17.2200,-19.2480,-19.2240,-19.2960,-14.4757,,,-18.8951,-14.4928,,-0.8625,-12.4500,-13.4264,-0.9828,,,,-0.3159,-0.3042,-0.6344,-0.5892,-0.5584,-2.3284,,-16.3121,-2.8273,-2.3251,-1.1882,-1.4900,,-0.4743,-3.7436,-8.6988,-1.8250,-1.5514,-1.1409,-1.2076,-1.4979,-1.1756,-0.9989,-2.2121,-1.8739,-1.8047,-16.1100,-7.4969,,-12.0944,-19.6855,,,-1.1533,,-0.5933,-10.5747
0.0700,-17.3400,-19.2800,-19.2800,-19.3180,-14.7074,,,-18.9744,-14.7152,,-1.1208,-13.2080,-14.2241,-1.2049,,,,-0.3110,-0.3016,-0.6302,-0.5534,-0.5788,-2.5854,,-16.3589,-3.0522,-2.3243,-1.1878,-1.5005,-0.3585,-0.4781,-4.2451,-10.4073,-2.5222,-1.8151,-1.3716,-1.4321,-1.7727,-1.4033,-1.2284,-2.4821,-2.1851,-2.0701,-16.1280,-8.2529,-9.0603,-12.0975,-19.6998,,,-1.1733,,-0.5733,-10.5747
0.0800,-17.4380,-19.3080,-19.3100,-19.3400,-14.9390,,,-19.0529,-14.9261,,-1.3807,-13.9520,-14.9929,-1.4270,,,,-0.3071,-0.2983,-0.6260,-0.5116,-0.6283,-2.8745,,-16.4212,-3.2771,-2.3235,-1.1871,-1.5110,-0.3231,-0.4820,-4.7466,-11.9640,-3.2194,-2.1267,-1.6390,-1.6961,-2.0965,-1.7054,-1.4891,-2.8357,-2.5728,-2.3050,-16.1640,-8.9566,-9.8075,-12.1037,-19.7285,-14.6400,,-1.1933,,-0.5467,-10.5877
0.0900,-17.5700,-19.3640,-19.3700,-19.3960,-15.1706,,,-19.1313,-15.2112,,-1.6875,-14.6960,-15.7374,-1.7309,,,,-0.3022,-0.2956,-0.6217,-0.4698,-0.6825,-3.1413,,-16.4672,-3.5223,-2.3227,-1.1868,-1.5215,-0.2699,-0.4858,-5.2714,-13.4486,-4.4917,-2.4252,-1.8381,-1.9267,-2.3810,-1.9775,-1.7365,-3.1097,-2.8588,-2.5698,-16.1820,-9.6447,-10.6757,-12.1100,-19.7572,-14.7104,,-1.2080,,-0.5200,-10.5877
0.1000,-17.6600,-19.3920,-19.4000,-19.4240,-15.4023,,,-19.2108,-15.4847,,-1.9504,-15.4400,-16.5089,-2.0962,,0.0089,,-0.2973,-0.2910,-0.6360,-0.4605,-0.7368,-3.4181,,-16.5278,-3.8078,-2.3219,-1.1864,-1.5321,-0.2168,-0.4683,-5.7751,-14.8747,-5.7466,-2.7939,-2.1171,-2.2218,-2.6665,-2.2824,-2.0403,-3.4195,-3.1781,-2.9176,-16.2000,-10.4016,-11.5283,-12.1140,-19.7878,-14.7808,,-1.2200,,-0.5000,-10.6008
0.1100,-17.7800,-19.4500,-19.4600,-19.4520,-15.6394,,,-19.2924,-15.7355,,-2.2134,-16.1840,-17.2708,-2.4615,,0.0089,,-0.2934,-0.2864,-0.6577,-0.4945,-0.6851,-3.8025,-3.6061,-16.5733,-4.0933,-2.3211,-1.1861,-1.5426,-0.1814,-0.4402,-6.2999,-16.3306,-6.7589,-3.1900,-2.4312,-2.5142,-2.9664,-2.4937,-2.3517,-3.7716,-3.5737,-3.2769,-16.2180,-11.1542,-12.4253,-12.1160,-19.8030,-14.8748,,-1.2320,,-0.4800,-10.6008
0.1200,-17.8520,-19.4800,-19.4900,-19.4800,-15.8648,,,-19.3740,-16.0173,,-2.5201,-16.9280,-18.0456,-2.8785,-0.0160,0.0088,,-0.2885,-0.2828,-0.6794,-0.5284,-0.6334,-4.2522,-4.0170,-16.6188,-4.3953,-2.3202,-1.1857,-1.5531,-0.2077,-0.4120,-6.8246,-17.6079,-7.7712,-3.4518,-2.6523,-2.7366,-3.2710,-2.7825,-2.5829,-4.0431,-3.8850,-3.5272,-16.2533,-11.8630,-13.2728,-12.1200,-19.8336,-14.9452,,-1.2440,,-0.4533,-10.6138
0.1300,-17.8880,-19.5100,-19.5200,-19.5280,-16.1074,,,-19.4506,-16.2255,,-2.8093,-17.6690,-18.7540,-3.4247,-0.0172,0.0086,,-0.2836,-0.2782,-0.6942,-0.5623,-0.5817,-4.6520,-4.4127,-16.6770,-4.7056,-2.3413,-1.2142,-1.5636,-0.2252,-0.3838,-7.3470,-18.5470,-8.9101,-3.7746,-2.9220,-2.9651,-3.5907,-3.1688,-2.8414,-4.3506,-4.2274,-3.7894,-16.2705,-12.5069,-14.1169,-12.1240,-19.8642,-15.0156,,-1.2560,,-0.4267,-10.6138
0.1400,-18.0620,-19.5700,-19.5800,-19.5520,-16.3454,,,-19.5174,-16.4428,,-3.1511,-18.3820,-19.4526,-3.9708,-0.0184,0.0086,,-0.2797,-0.2757,-0.6670,-0.5963,-0.6021,-5.0517,-4.8276,-16.7201,-4.9124,-2.3624,-1.2432,-1.5742,-0.2515,-0.4077,-7.8520,-19.2758,-9.9224,-4.0713,-3.1711,-3.1693,-3.8584,-3.4306,-3.1125,-4.6570,-4.4971,-4.0395,-16.2878,-13.1182,-14.9677,-12.1280,-19.8947,-15.0861,,-1.2680,,-0.4067,-10.6268
0.1500,-18.2200,-19.5980,-19.6100,-19.5760,-16.5770,,,-19.5841,-16.6719,,-3.5499,-19.0950,-20.2557,-4.5170,-0.0197,0.0084,,-0.2748,-0.2726,-0.6399,-0.6835,-0.6224,-5.4764,-5.2425,-16.7775,-5.2226,-2.3835,-1.2721,-1.5847,-0.2778,-0.4316,-8.3571,-19.9409,-10.9347,-4.4497,-3.4875,-3.5196,-4.2043,-3.7092,-3.4002,-4.9875,-4.8047,-4.3809,-16.3050,-13.7379,-15.7964,-12.1300,-19.9100,-15.1800,,-1.2800,,-0.3880,-10.6268
0.1600,-18.4200,-19.6540,-19.6700,-19.6000,-16.8181,,,-19.6509,-16.8616,,-3.8917,-19.8080,-20.9854,-5.1506,-0.0209,0.0084,,-0.2699,-0.2696,-0.6334,-0.7797,-0.6481,-5.9262,-5.6839,-16.8206,-5.5003,-2.4046,-1.3010,-1.5955,-0.3370,-0.4554,-8.8621,-20.5118,-11.9470,-4.7987,-3.7745,-3.8445,-4.5213,-3.9743,-3.6779,-5.2898,-5.1215,-4.7201,-16.3223,-14.3338,-16.6049,-12.1560,-19.9476,-15.2488,,-1.2920,,-0.3640,-10.6399
0.1700,-18.4680,-19.6820,-19.7000,-19.6440,-17.0608,,,-19.7221,-17.0708,,-4.2335,-20.4940,-21.5938,-5.9496,-0.0221,0.0082,,-0.2660,-0.2671,-0.6787,-0.8758,-0.7052,-6.4009,-6.2012,-16.8828,-5.7616,-2.4046,-1.3299,-1.6063,-0.4258,-0.4793,-9.3672,-20.7405,-13.0859,-5.0755,-4.0014,-4.1053,-4.7895,-4.2362,-3.9741,-5.5082,-5.4888,-4.9416,-16.3568,-14.9297,-17.3948,-12.1820,-19.9851,-15.3175,,-1.3200,,-0.3400,-10.6399
