  
U.S. Geological Survey 
Processed Temperature Log (denoised, deconvolved) 
       07-Feb-2021 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   NGRIP-2 
  File name:   NGRIP-2_03MAY24_c_d 
  Log date:    24-MAY-2003 
  
Contact Information: 
  Gary Clow 
  Institute of Arctic and Alpine Research 
  University of Colorado, Boulder USA 
  gclow@colorado.edu 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
  NaN:          Not-a-Number (data were missing or bad) 
________________________________________________ 
             
 Depth  Temperature 
 81.89 -31.6259
 85.00 -31.6276
 90.00 -31.6313
 95.00 -31.6312
100.00 -31.6356
105.00 -31.6447
110.00 -31.6508
115.00 -31.6553
120.00 -31.6606
125.00 -31.6656
130.00 -31.6690
135.00 -31.6727
140.00 -31.6764
145.00 -31.6786
150.00 -31.6797
155.00 -31.6802
160.00 -31.6805
165.00 -31.6803
170.00 -31.6791
175.00 -31.6774
180.00 -31.6752
185.00 -31.6747
190.00 -31.6729
195.00 -31.6700
200.00 -31.6672
205.00 -31.6636
210.00 -31.6600
215.00 -31.6561
220.00 -31.6522
225.00 -31.6479
230.00 -31.6433
235.00 -31.6385
240.00 -31.6338
245.00 -31.6288
250.00 -31.6237
255.00 -31.6190
260.00 -31.6139
265.00 -31.6090
270.00 -31.6042
275.00 -31.5993
280.00 -31.5944
285.00 -31.5895
290.00 -31.5848
295.00 -31.5805
300.00 -31.5756
305.00 -31.5714
310.00 -31.5671
315.00 -31.5628
320.00 -31.5587
325.00 -31.5552
330.00 -31.5510
335.00 -31.5474
340.00 -31.5441
345.00 -31.5409
350.00 -31.5376
355.00 -31.5347
360.00 -31.5319
365.00 -31.5296
370.00 -31.5263
375.00 -31.5236
380.00 -31.5206
385.00 -31.5168
390.00 -31.5143
395.00 -31.5150
400.00 -31.5150
405.00 -31.5138
410.00 -31.5127
415.00 -31.5114
420.00 -31.5105
425.00 -31.5098
430.00 -31.5090
435.00 -31.5082
440.00 -31.5076
445.00 -31.5076
450.00 -31.5074
455.00 -31.5077
460.00 -31.5079
465.00 -31.5081
470.00 -31.5085
475.00 -31.5091
480.00 -31.5095
485.00 -31.5102
490.00 -31.5109
495.00 -31.5117
500.00 -31.5132
505.00 -31.5151
510.00 -31.5164
515.00 -31.5180
520.00 -31.5202
525.00 -31.5215
530.00 -31.5227
535.00 -31.5252
540.00 -31.5283
545.00 -31.5309
550.00 -31.5332
555.00 -31.5359
560.00 -31.5373
565.00 -31.5392
570.00 -31.5414
575.00 -31.5443
580.00 -31.5461
585.00 -31.5483
590.00 -31.5513
595.00 -31.5540
600.00 -31.5564
605.00 -31.5637
610.00 -31.5665
615.00 -31.5718
620.00 -31.5759
625.00 -31.5804
630.00 -31.5837
635.00 -31.5871
640.00 -31.5925
645.00 -31.5973
650.00 -31.6020
655.00 -31.6070
660.00 -31.6130
665.00 -31.6166
670.00 -31.6216
675.00 -31.6270
680.00 -31.6321
685.00 -31.6382
690.00 -31.6439
695.00 -31.6482
700.00 -31.6534
705.00 -31.6595
710.00 -31.6653
715.00 -31.6721
720.00 -31.6778
725.00 -31.6843
730.00 -31.6894
735.00 -31.6964
740.00 -31.7010
745.00 -31.7078
750.00 -31.7148
755.00 -31.7207
760.00 -31.7278
765.00 -31.7336
770.00 -31.7404
775.00 -31.7469
780.00 -31.7533
785.00 -31.7606
790.00 -31.7667
795.00 -31.7745
800.00 -31.7808
805.00 -31.7881
810.00 -31.7960
815.00 -31.8025
820.00 -31.8097
825.00 -31.8155
830.00 -31.8232
835.00 -31.8296
840.00 -31.8388
845.00 -31.8448
850.00 -31.8519
855.00 -31.8591
860.00 -31.8675
865.00 -31.8742
870.00 -31.8823
875.00 -31.8891
880.00 -31.8969
885.00 -31.9040
890.00 -31.9120
895.00 -31.9186
900.00 -31.9261
905.00 -31.9337
910.00 -31.9421
915.00 -31.9489
920.00 -31.9577
925.00 -31.9639
930.00 -31.9720
935.00 -31.9788
940.00 -31.9868
945.00 -31.9944
950.00 -32.0028
955.00 -32.0103
960.00 -32.0189
965.00 -32.0247
970.00 -32.0335
975.00 -32.0408
980.00 -32.0476
985.00 -32.0557
990.00 -32.0627
995.00 -32.0709
1000.00 -32.0783
1005.00 -32.0856
1010.00 -32.0931
1015.00 -32.1005
1020.00 -32.1080
1025.00 -32.1152
1030.00 -32.1229
1035.00 -32.1296
1040.00 -32.1367
1045.00 -32.1434
1050.00 -32.1508
1055.00 -32.1570
1060.00 -32.1636
1065.00 -32.1708
1070.00 -32.1776
1075.00 -32.1843
1080.00 -32.1904
1085.00 -32.1982
1090.00 -32.2035
1095.00 -32.2107
1100.00 -32.2179
1105.00 -32.2239
1110.00 -32.2296
1115.00 -32.2349
1120.00 -32.2410
1125.00 -32.2468
1130.00 -32.2523
1135.00 -32.2604
1140.00 -32.2651
1145.00 -32.2707
1150.00 -32.2759
1155.00 -32.2815
1160.00 -32.2857
1165.00 -32.2910
1170.00 -32.2961
1175.00 -32.3012
1180.00 -32.3063
1185.00 -32.3100
1190.00 -32.3143
1195.00 -32.3188
1200.00 -32.3225
1205.00 -32.3271
1210.00 -32.3300
1215.00 -32.3338
1220.00 -32.3375
1225.00 -32.3408
1230.00 -32.3445
1235.00 -32.3459
1240.00 -32.3492
1245.00 -32.3526
1250.00 -32.3551
1255.00 -32.3573
1260.00 -32.3592
1265.00 -32.3599
1270.00 -32.3628
1275.00 -32.3643
1280.00 -32.3653
1285.00 -32.3668
1290.00 -32.3675
1295.00 -32.3679
1300.00 -32.3689
1305.00 -32.3690
1310.00 -32.3686
1315.00 -32.3682
1320.00 -32.3681
1325.00 -32.3670
1330.00 -32.3663
1335.00 -32.3654
1340.00 -32.3640
1345.00 -32.3618
1350.00 -32.3599
1355.00 -32.3574
1360.00 -32.3550
1365.00 -32.3525
1370.00 -32.3495
1375.00 -32.3460
1380.00 -32.3422
1385.00 -32.3387
1390.00 -32.3344
1395.00 -32.3300
1400.00 -32.3252
1405.00 -32.3201
1410.00 -32.3148
1415.00 -32.3091
1420.00 -32.3031
1425.00 -32.2968
1430.00 -32.2903
1435.00 -32.2833
1440.00 -32.2760
1445.00 -32.2682
1450.00 -32.2604
1455.00 -32.2518
1460.00 -32.2434
1465.00 -32.2347
1470.00 -32.2254
1475.00 -32.2158
1480.00 -32.2057
1485.00 -32.1953
1490.00 -32.1844
1495.00 -32.1737
1500.00 -32.1621
1505.00 -32.1500
1510.00 -32.1378
1515.00 -32.1252
1520.00 -32.1124
1525.00 -32.0984
1530.00 -32.0853
1535.00 -32.0701
1540.00 -32.0559
1545.00 -32.0409
1550.00 -32.0257
1555.00 -32.0099
1560.00 -31.9935
1565.00 -31.9766
1570.00 -31.9602
1575.00 -31.9421
1580.00 -31.9243
