depth [m],Devon73,Isunnguata_M1-10,Jakobshavn95D_T4,Meighen67,Isunnguata_27km-12C,Isunnguata_33km_15N,TD5_91,SiteII,Isunnguata_27km-12B,StationCentrale,Isunnguata_33km_14SB,GRIP,Isunnguata_27km-11A,HansTausen_Hare,Jakobshavn95D_T5,Jakobshavn89A,Agassiz84,Renland88,NEEM,Isunnguata_27km-12A,Isunnguata_33km_14N,CampCentury,Jakobshavn89B,Jakobshavn95D_I2,Isunnguata_33km_14SA,FOXX2,TD4_91a,FOXX1,TD5_90,PrinceWales05,Agassiz77,Isunnguata_33km_15E,Isunnguata_46km-11A,Devon98,DYE-3,Store_R30_BH19c,FladeIsblink06,Jakobshavn95D_T3,TD1_88,CampVI_50,Jakobshavn95D_I1,Isua_10,Isunnguata_33km_15CA,GISP2,TD2_88,Isua_14,TD3_88,Isua_12,Agassiz79b,Isua_11,Isunnguata_33km_14W,Agassiz79a,TD4_91b,Isunnguata_27km-11B,Isua_13,GULL,Store_R29_BH18c,CampIII_78,Store_S30,Tuto_D-11,Isunnguata_27km-11C,Isunnguata_33km_15CB,Isunnguata_M2-10B,Devon72,Isunnguata_13km-10,NGRIP,HansTausen_Dome,Isunnguata_33km_15S,Penny96,Isunnguata_46km-11B
1,,,,-22.4160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6112,,,-2.6184,,,,,,,,,,,,,,,,,,,,,,,,-2.2539,,,,,-0.0543,,,,,
2,,,,-23.1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6010,,,-4.0760,,,,,,,,,,,,,,,,,,,,,,,,-4.3312,,,,,-0.1200,,,,,
3,,,,-22.7290,,,,,,,,,,,,,-23.9900,,,,,,,,,,,,,,,,-9.5911,,,-5.1522,,,,,,,,,,,,,,,,,-12.7000,,,,,,,-5.9892,,,,,-0.1963,,,,,
4,,,,-22.0320,,,,,,,,,,,,,-23.5816,,,,,,,,,,,,,,,,-9.5814,,,-5.9038,,,,-12.8500,,,,,,,,,,,,,-12.4510,,,-0.5993,,,,-7.4888,,,,,-0.2821,,,,,
5,,,,-20.4907,,,-9.4000,,,,,,,,,,-23.2069,,,,,,,,,,-12.7000,,-8.3000,,,,-9.5720,,,-6.4428,,,,-12.7800,,-3.7887,,,,,,,,,,,-12.1490,,,-0.7324,,,,-8.6761,,,0.3700,,-0.3766,,,,,
6,,,,-19.6660,,,-9.2048,,,,,,,,,,-22.8784,,,,,,,,,,-12.4437,,-8.6344,,,,-9.5629,,,-6.7489,,,,-12.6500,,-3.7361,,,,-4.6005,,,,,,,-11.8015,,-4.7124,-0.8735,,,,-9.6154,,,0.2771,,-0.4788,,,,,
7,,,,-19.1721,,,-9.0264,,,,,,,,,,-22.6086,,,,,,,,,,-12.1391,,-8.9112,,,,-9.5541,,,-6.8821,,,,-12.6200,,-3.6851,,,,-4.5713,,,,,,,-11.4160,,-4.7124,-1.0148,,,,-10.3950,,,0.1891,,-0.5879,,,,,
8,,,,-18.6880,,,-8.8756,,,,,,,,,,-22.4100,,,,,,,,,,-11.7926,,-9.1208,,,,-9.5458,,,-6.9191,,,,-12.4500,,-3.6364,,,,-4.5425,,,,,,,-11.0000,,-4.7122,-1.1483,,,,-10.8972,,,0.1072,,-0.7029,,,,,
9,-23.1542,,,-17.9210,,,-8.7632,,,,,,,-18.5000,,,-22.2595,,,,,-24.0468,,,,-2.7108,-11.4108,,-9.2536,,,,-9.5378,,,-6.9029,,,,-12.3200,,-3.5903,,,,-4.5139,,,,,,,-10.4505,,-4.7120,-1.2660,,,,-11.2027,,,0.0326,,-0.8229,,,,,
10,-23.1158,0.0000,,-17.6485,,,-8.7000,,,-27.3500,,,,-18.2830,,,-22.1279,,,,,-24.0608,,,,-3.1734,-11.0000,,-9.3000,-20.8843,,,-9.5303,,,-6.8599,,,,-12.2800,,-3.5474,,,,-4.4857,,,,,,,-9.7501,,-4.7116,-1.3600,,-4.4000,,-11.4305,,,-0.0338,-22.8035,-0.9470,,-21.0000,,-11.9300,
11,-23.0804,0.0000,,-17.4410,,,-8.6695,,,-27.2634,,,,-18.0723,,,-22.0185,,,-6.7285,,-24.0747,,,,-3.5373,-10.4657,,-9.2440,-20.9226,-24.1600,,-9.5233,,,-6.8197,,,,-12.3000,,-3.5081,,,,-4.4579,,,-22.3000,,,,-9.0343,,-4.7111,-1.4222,,-4.0298,,-11.5198,,,-0.0906,-22.8246,-1.1014,,-20.9851,,-12.0120,
12,-23.0524,0.0000,,-17.1660,,,-8.6465,,,-27.1882,,,,-17.8688,,,-21.9348,,,-6.6112,,-24.0884,,,,-3.8127,-9.7928,,-9.1080,-20.9596,-24.2175,,-9.5168,,,-6.7764,,,,-12.2800,,-3.4730,,,,-4.4305,,,-22.2964,,,-22.3500,-8.4391,,-4.7106,-1.4447,,-3.6814,,-11.5109,,,-0.1367,-22.8457,-1.3031,,-20.9701,,-12.0914,
13,-23.0361,0.0000,,-17.1650,,,-8.6287,,,-27.1253,,,,-17.6730,,,-21.8800,,,-6.4955,,-24.1019,,,,-4.0095,-9.1071,,-8.9400,-20.9951,-24.2694,,-9.5108,-22.4600,,-6.7455,,,,-12.3200,,-3.4424,,,,-4.4035,,,-22.2900,,,-22.3465,-8.1000,,-4.7099,-1.4438,,-3.3580,,-11.4872,,,-0.1711,-22.8668,-1.5370,,-20.9552,,-12.1673,
14,-23.0277,0.0000,,-17.1640,,,-8.6139,,,-27.0756,,,,-17.4857,,,-21.8467,,,-6.3816,,-24.1153,,,,-4.1376,-8.5343,,-8.7880,-21.0288,-24.3114,,-9.5055,-22.5007,,-6.7253,,,,-12.3800,,-3.4170,,,,-4.3768,,,-22.2813,,,-22.3388,-7.9391,,-4.7091,-1.4412,,-3.0631,,-11.4533,,,-0.1926,-22.8879,-1.7882,,-20.9403,,-12.2389,
15,-23.0203,0.0000,,-17.0680,,-9.5600,-8.6000,,,-27.0400,,,,-17.3075,,,-21.8224,-18.4440,,-6.2696,,-24.1284,,,,-4.2072,-8.2000,,-8.7000,-21.0604,-24.3397,,-9.5007,-22.5404,,-6.7159,,,,-12.4500,,-3.3971,,,,-4.3506,,,-22.2712,,,-22.3277,-7.7879,,-4.7083,-1.4370,,-2.8000,,-11.4138,,,-0.2000,-22.9090,-2.0418,,-20.9254,,-12.3054,
16,-23.0140,0.0000,,-17.0720,,-9.6167,-8.5857,-23.9981,,-27.0130,,,,-17.1392,,,-21.8027,-18.4785,,-6.1597,,-24.1413,,,,-4.2282,-8.0318,,-8.6610,-21.0897,-24.3500,,-9.4966,-22.5784,,-6.7126,,,,-12.5350,,-3.3817,,,,-4.3248,,,-22.2600,,,-22.3145,-7.6460,,-4.7073,-1.4313,,-2.5631,,-11.3734,,,-0.1949,-22.9301,-2.2828,,-20.9104,,-12.3658,
17,-23.0090,0.0000,,-17.0840,,-9.6726,-8.5713,-24.0102,,-27.0000,,,,-16.9814,,,-21.7833,-18.5106,,-6.0520,,-24.1538,,,,-4.0907,-7.8731,,-8.6240,-21.1163,-24.3490,,-9.4931,-22.6140,,-6.7173,,,,-12.6310,,-3.3686,,,,-4.2994,,,-22.2461,,,-22.3000,-7.5134,,-4.7063,-1.4241,,-2.3448,,-11.3234,,,-0.1808,-22.9526,-2.4963,,-20.8955,,-12.4193,
18,-23.0053,0.0000,,-17.1600,-4.5500,-9.7277,-8.5569,-24.0295,-5.6550,-27.0300,,,,-16.8347,,,-21.7600,-18.5399,,-5.9467,-4.6300,-24.1661,,,,-3.8136,-7.7240,,-8.5890,-21.1400,-24.3463,,-9.4904,-22.6466,,-6.7322,,,,-12.7295,,-3.3575,,,,-4.2747,,,-22.2281,,,-22.2808,-7.3898,,-4.6939,-1.4156,,-2.1449,,-11.2578,,,-0.1602,-22.9771,-2.6673,,-20.8806,,-12.4651,
