t,d
-7.985922638763032, -285.87481699421977
-7.800595086438186, -257.1802676280285
-7.5555151840093195, -232.14324647160436
-7.646749955135885, -242.1171406246031
-7.311764588590556, -204.70618163969567
-6.893068328595831, -177.82243573288326
-6.194260495432712, -150.48054003277852
-5.329103183025627, -123.6868012987413
-4.228181342698921, -15.78275263694286
-3.599586142417518, -19.14784422247071
-3.0946267195140074, -26.02165885747938
-2.8676390263405587, -31.193606715994378
-2.774354957031452, -49.439525664283835
-2.7108114754643147, -8.63900117631421
-2.7790049250824644, -34.88889421725203
-2.6942748962586585, -44.843820963223564
-2.6674760669350306, -41.50472359427545
-4.201983769161405, -97.24454649827751
-2.9936880072137058, -69.9196326061994
