  
U.S. Geological Survey 
Processed Temperature Log (denoised, deconvolved) 
       01-Mar-2021 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   GISP2-D 
  File name:   GISP-D-3_96JUN02_c_d 
  Log date:    02-JUN-1996 
  
Contact Information: 
  Gary Clow 
  Institute of Arctic and Alpine Research 
  University of Colorado, Boulder USA 
  gclow@colorado.edu 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
  NaN:          Not-a-Number (data were missing or bad) 
________________________________________________ 
             
 Depth  Temperature 
 72.61 -31.4118
 75.00 -31.4139
 80.00 -31.4197
 85.00 -31.4264
 90.00 -31.4330
 95.00 -31.4387
100.00 -31.4441
105.00 -31.4493
110.00 -31.4545
115.00 -31.4591
120.00 -31.4630
125.00 -31.4662
130.00 -31.4687
135.00 -31.4704
140.00 -31.4712
145.00 -31.4712
150.00 -31.4704
155.00 -31.4689
160.00 -31.4666
165.00 -31.4636
170.00 -31.4598
175.00 -31.4554
180.00 -31.4504
185.00 -31.4448
190.00 -31.4387
195.00 -31.4322
200.00 -31.4254
205.00 -31.4182
210.00 -31.4107
215.00 -31.4028
220.00 -31.3946
225.00 -31.3863
230.00 -31.3780
235.00 -31.3698
240.00 -31.3614
245.00 -31.3528
250.00 -31.3442
255.00 -31.3356
260.00 -31.3271
265.00 -31.3188
270.00 -31.3105
275.00 -31.3022
280.00 -31.2940
285.00 -31.2859
290.00 -31.2778
295.00 -31.2698
300.00 -31.2619
305.00 -31.2541
310.00 -31.2465
315.00 -31.2389
320.00 -31.2315
325.00 -31.2240
330.00 -31.2167
335.00 -31.2095
340.00 -31.2025
345.00 -31.1957
350.00 -31.1889
355.00 -31.1824
360.00 -31.1759
365.00 -31.1696
370.00 -31.1635
375.00 -31.1574
380.00 -31.1516
385.00 -31.1458
390.00 -31.1403
395.00 -31.1349
400.00 -31.1295
405.00 -31.1244
410.00 -31.1194
415.00 -31.1145
420.00 -31.1097
425.00 -31.1051
430.00 -31.1007
435.00 -31.0964
440.00 -31.0922
445.00 -31.0882
450.00 -31.0843
455.00 -31.0805
460.00 -31.0769
465.00 -31.0735
470.00 -31.0701
475.00 -31.0668
480.00 -31.0638
485.00 -31.0608
490.00 -31.0581
495.00 -31.0555
500.00 -31.0531
505.00 -31.0507
510.00 -31.0486
515.00 -31.0465
520.00 -31.0447
525.00 -31.0430
530.00 -31.0414
535.00 -31.0399
540.00 -31.0386
545.00 -31.0374
550.00 -31.0364
555.00 -31.0355
560.00 -31.0347
565.00 -31.0341
570.00 -31.0336
575.00 -31.0332
580.00 -31.0329
585.00 -31.0328
590.00 -31.0328
595.00 -31.0329
600.00 -31.0332
605.00 -31.0335
610.00 -31.0340
615.00 -31.0346
620.00 -31.0354
625.00 -31.0363
630.00 -31.0373
635.00 -31.0384
640.00 -31.0396
645.00 -31.0410
650.00 -31.0425
655.00 -31.0441
660.00 -31.0459
665.00 -31.0478
670.00 -31.0498
675.00 -31.0519
680.00 -31.0542
685.00 -31.0565
690.00 -31.0590
695.00 -31.0616
700.00 -31.0644
705.00 -31.0672
710.00 -31.0702
715.00 -31.0733
720.00 -31.0765
725.00 -31.0798
730.00 -31.0833
735.00 -31.0868
740.00 -31.0905
745.00 -31.0943
750.00 -31.0983
755.00 -31.1023
760.00 -31.1065
765.00 -31.1108
770.00 -31.1151
775.00 -31.1196
780.00 -31.1242
785.00 -31.1290
790.00 -31.1338
795.00 -31.1387
800.00 -31.1438
805.00 -31.1489
810.00 -31.1542
815.00 -31.1597
820.00 -31.1652
825.00 -31.1708
830.00 -31.1765
835.00 -31.1823
840.00 -31.1882
845.00 -31.1942
850.00 -31.2004
855.00 -31.2066
860.00 -31.2130
865.00 -31.2194
870.00 -31.2260
875.00 -31.2326
880.00 -31.2394
885.00 -31.2462
890.00 -31.2530
895.00 -31.2600
900.00 -31.2672
905.00 -31.2744
910.00 -31.2816
915.00 -31.2890
920.00 -31.2964
925.00 -31.3039
930.00 -31.3115
935.00 -31.3192
940.00 -31.3271
945.00 -31.3352
950.00 -31.3432
955.00 -31.3513
960.00 -31.3594
965.00 -31.3675
970.00 -31.3758
975.00 -31.3840
980.00 -31.3924
985.00 -31.4008
990.00 -31.4093
995.00 -31.4178
1000.00 -31.4264
1005.00 -31.4351
1010.00 -31.4438
1015.00 -31.4526
1020.00 -31.4614
1025.00 -31.4703
1030.00 -31.4792
1035.00 -31.4882
1040.00 -31.4973
1045.00 -31.5064
1050.00 -31.5154
1055.00 -31.5246
1060.00 -31.5337
1065.00 -31.5430
1070.00 -31.5523
1075.00 -31.5616
1080.00 -31.5709
1085.00 -31.5802
1090.00 -31.5894
1095.00 -31.5987
1100.00 -31.6079
1105.00 -31.6172
1110.00 -31.6268
1115.00 -31.6364
1120.00 -31.6460
1125.00 -31.6554
1130.00 -31.6648
1135.00 -31.6742
1140.00 -31.6835
1145.00 -31.6928
1150.00 -31.7023
1155.00 -31.7117
1160.00 -31.7211
1165.00 -31.7304
1170.00 -31.7397
1175.00 -31.7490
1180.00 -31.7583
1185.00 -31.7676
1190.00 -31.7768
1195.00 -31.7859
1200.00 -31.7951
1205.00 -31.8041
1210.00 -31.8132
1215.00 -31.8222
1220.00 -31.8312
1225.00 -31.8401
1230.00 -31.8490
1235.00 -31.8577
1240.00 -31.8664
1245.00 -31.8749
1250.00 -31.8834
1255.00 -31.8918
1260.00 -31.9003
1265.00 -31.9087
1270.00 -31.9171
1275.00 -31.9253
1280.00 -31.9334
1285.00 -31.9414
1290.00 -31.9491
1295.00 -31.9568
1300.00 -31.9643
1305.00 -31.9720
1310.00 -31.9795
1315.00 -31.9869
1320.00 -31.9939
1325.00 -32.0009
1330.00 -32.0079
1335.00 -32.0148
1340.00 -32.0215
1345.00 -32.0279
1350.00 -32.0341
1355.00 -32.0402
1360.00 -32.0463
1365.00 -32.0523
1370.00 -32.0580
1375.00 -32.0634
1380.00 -32.0687
1385.00 -32.0739
1390.00 -32.0790
1395.00 -32.0839
1400.00 -32.0885
1405.00 -32.0929
1410.00 -32.0971
1415.00 -32.1012
1420.00 -32.1051
1425.00 -32.1087
1430.00 -32.1120
1435.00 -32.1152
1440.00 -32.1181
1445.00 -32.1207
1450.00 -32.1232
1455.00 -32.1254
1460.00 -32.1275
1465.00 -32.1292
1470.00 -32.1307
1475.00 -32.1319
1480.00 -32.1329
1485.00 -32.1337
1490.00 -32.1342
1495.00 -32.1345
1500.00 -32.1344
1505.00 -32.1341
1510.00 -32.1335
1515.00 -32.1325
1520.00 -32.1313
1525.00 -32.1297
1530.00 -32.1279
1535.00 -32.1258
1540.00 -32.1233
1545.00 -32.1205
1550.00 -32.1174
1555.00 -32.1140
1560.00 -32.1103
1565.00 -32.1062
1570.00 -32.1018
