t,d
-4.750692520775623, 17.161716171617257
-4.227146814404432, 38.28382838283838
-4.110803324099723, 58.085808580858185
-4.304709141274238, 76.56765676567665
-4.556786703601109, 97.6897689768978
-4.750692520775623, 117.49174917491757
-4.944598337950139, 137.29372937293738
-5.022160664819944, 157.09570957095718
-5.138504155124654, 178.2178217821783
-5.3324099722991685, 198.0198019801981
-5.254847645429363, 217.82178217821792
-5.196675900277008, 238.94389438943904
-5.409972299168975, 257.4257425742575
-5.35180055401662, 277.2277227722773
-5.3324099722991685, 298.34983498349845
-5.21606648199446, 316.83168316831694
-5.002770083102493, 337.95379537953806
-4.750692520775623, 359.07590759075913
-4.614958448753463, 366.9966996699671
-4.1689750692520775, 386.7986798679869
-3.975069252077562, 407.920792079208
-3.4515235457063724, 427.7227722772278
-3.0443213296398888, 447.5247524752476
-2.6565096952908576, 468.6468646864687
-2.210526315789494, 487.1287128712871
-1.686980609418283, 506.93069306930715
-1.240997229916898, 528.0528052805279
-0.9889196675900234, 547.8547854785481
-0.7950138504155078, 567.656765676568
-0.6398891966759024, 587.4587458745874
-0.5817174515235504, 607.2607260726076
-0.7368421052631557, 628.3828382838288
-0.5817174515235504, 648.1848184818487
-0.5235457063712001, 667.9867986798686
-0.5235457063712001, 687.7887788778884
