t,d
-17.84263883402936,13.93341286796317
-16.55590419349931,22.23203758918703
-15.539959210751883,32.019686378762344
-14.81712926524702,43.053169626755306
-14.269930594727752,54.768714749446104
-13.867682912202813,63.73982323834281
-13.351601374735036,75.62817428389104
-12.814802053913198,88.60820607131959
-12.27796348529326,101.91273865343376
-11.802910041138592,114.98671824527051
-11.142547104816883,128.37301080851836
-10.399976307950354,140.642086238263
-9.842648668944216,153.14730074395263
-9.429327896016039,166.42441072369905
-8.974795276725846,180.03516236558713
-8.46898126332464,192.13310044351783
-7.839374574175007,206.53116943233425
-7.360751642121812,217.29110670347603
-6.458405565221247,232.1320129527826
-5.326064209802532,244.51484139975662
-4.1884926761171215,256.08825499514234
-3.4270800044879586,263.9509372874916
-2.302423760869754,278.81137609442686
-1.544909055696749,288.28646735446944
-18.538792035032635,9.891514500536971
