d,t
7.3450000e+02, -3.1355000e+00
7.1450000e+02, -4.1907308e+00
6.9450000e+02, -5.1382692e+00
6.7450000e+02, -6.3011923e+00
6.5450000e+02, -7.2718077e+00
6.3450000e+02, -8.2578077e+00
6.1450000e+02, -9.2053462e+00
5.9450000e+02, -1.0145192e+01
5.7450000e+02, -1.0723500e+01
5.5450000e+02, -1.1471038e+01
5.3450000e+02, -1.2057038e+01
5.1450000e+02, -1.2481500e+01
4.9450000e+02, -1.2782885e+01
4.7450000e+02, -1.2768885e+01
4.5450000e+02, -1.3047192e+01
4.3450000e+02, -1.3371654e+01
4.1450000e+02, -1.3326885e+01
3.9450000e+02, -1.3451346e+01
3.7450000e+02, -1.3591192e+01
3.5450000e+02, -1.3492577e+01
3.3450000e+02, -1.3747808e+01
3.1450000e+02, -1.3595346e+01
2.9450000e+02, -1.3758269e+01
2.7450000e+02, -1.3805808e+01
2.5450000e+02, -1.3391808e+01
2.3450000e+02, -1.3085500e+01
2.1450000e+02, -1.2725346e+01
1.9450000e+02, -1.2142115e+01
1.7450000e+02, -1.1858885e+01
1.5450000e+02, -1.1783346e+01
1.3450000e+02, -1.1715500e+01
1.1450000e+02, -1.1224577e+01
