t,d
-0.85555142344,628.0
-1.2238945536399999,618.0
-1.59223768384,608.0
-2.08558081404,598.0
-2.51642394424,588.0
-3.00976707444,578.0
-3.56561020464,568.0
-3.9339533348400004,558.0
-4.48979646504,548.0
-4.98313959524,538.0
-5.47648272544,528.0
-5.96982585564,518.0
-6.33816898584,508.0
-6.70651211604,498.0
-7.137355246239999,488.0
-7.505698376439999,478.0
-8.117384636839999,458.0
-8.72907089724,438.0
-9.278257157639999,418.0
-9.76494341804,398.0
-10.12662967844,378.0
-10.36331593884,358.0
-10.475002199239999,338.0
-10.52418845964,318.0
-10.51087472004,298.0
-10.37256098044,278.0
-10.10924724084,258.0
-9.90843350124,238.0
-9.520119761639998,218.0
-9.19430602204,198.0
-8.80599228244,178.0
-8.29267854284,158.0
-7.904364803239999,138.0
-7.51605106364,118.0
-7.002737324039999,98.0
-6.30192358444,78.0
-5.53860984484,58.0
-5.08779610524,38.0
-4.63698236564,18.0
