d,t
5, -0.63084752868
15, -0.81169065888
25, -1.05503378908
35, -1.42337691928
45, -1.79172004948
55, -2.16006317968
65, -2.65340630988
75, -3.02174944008
85, -3.51509257028
95, -3.94593570048
105, -4.31427883068
115, -4.74512196088
125, -5.17596509108
135, -5.48180822128
145, -5.91265135148
165, -6.71183761188
185, -7.38602387228
205, -7.93521013268
225, -8.73439639308
245, -9.34608265348
265, -9.83276891388
285, -10.25695517428
305, -10.68114143468
325, -10.91782769508
345, -11.21701395548
365, -11.45370021588
385, -11.56538647628
405, -11.73957273668
425, -11.78875899708
445, -11.83794525748
465, -11.82463151788
485, -11.81131777828
505, -11.79800403868
525, -11.72219029908
545, -11.58387655948
565, -11.19556281988
585, -11.24474908028
605, -10.91893534068
625, -10.59312160108
