depth [m],Agassiz77,Agassiz79a,Agassiz79b,Agassiz84,CVI_EPF,CampCentury,CampIII_78b,CampVI,DYE-3,Devon72,Devon73,Devon98,FOXX1,FOXX2,FladeIsblink06,GISP2,GRIP,GULL,HansTausen_Dome,HansTausen_Hare,Isua_10,Isua_11,Isua_12,Isua_13,Isua_14,Isunnguata_13km-10,Isunnguata_27km-11A,Isunnguata_27km-11B,Isunnguata_27km-11C,Isunnguata_27km-12A,Isunnguata_27km-12B,Isunnguata_27km-12C,Isunnguata_33km_14N,Isunnguata_33km_14SA,Isunnguata_33km_14SB,Isunnguata_33km_14W,Isunnguata_33km_15CA,Isunnguata_33km_15CB,Isunnguata_33km_15E,Isunnguata_33km_15N,Isunnguata_33km_15S,Isunnguata_46km-11A,Isunnguata_46km-11B,Isunnguata_M1-10,Isunnguata_M2-10B,Jakobshavn89A,Jakobshavn89B,Jakobshavn95D_I1,Jakobshavn95D_I2,Jakobshavn95D_T3,Jakobshavn95D_T4,Jakobshavn95D_T5,Meighen67,NEEM,NGRIP,Penny96,PrinceWales05,Renland88,SiteII,SiteII_EGIG,StationCentrale,StationCentrale_EGIG,Store_R30_BH19c,Store_S30,TD1_88,TD2_88,TD3_88,TD4_91a,TD4_91b,TD5_90,TD5_91,Tuto_D-11
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6112,,,,,,,,,,,-22.4160,,,,,,,,,,-1.9669,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6050,,,,8.0000,10.0000,,,,,,-23.1220,,,,,,,,,,-3.4608,,,,,,,,,-4.3312
3,,,,-23.9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.5987,,,,7.3278,9.7888,,,,,,-22.7290,,,,,,,,,,-4.7638,,,,,,-12.7000,,,-5.7795
4,,,,-23.6740,,,,-12.8500,,,,,,,,,,-0.5993,,,,,,,,,,,,,,,,,,,,,,,,-9.5925,,,,6.6556,9.5776,,,,,,-22.0320,,,,,,,,,,-5.5953,,,,,,-12.3600,,,-7.2278
5,,,,-23.3580,,,,-12.7800,,,,,,,,,,-0.7050,,,-3.7887,,,,,,,,,,,,,,,,,,,,,-9.5863,,,0.3700,5.9833,9.3663,,,,,,-20.0430,,,,,,,,,,-6.2444,,,,,-12.7000,-12.0200,-8.3000,-9.4000,-8.6761
6,,,,-23.0420,,,,-12.6500,,,,,0.1151,,,,,-0.8107,,,-3.7496,,,-4.7124,-4.6005,,,,,,,,,,,,,,,,,-9.5801,,,0.3130,5.3111,9.1551,,,,,,-19.6660,,,,,,,,,,-6.6481,,,,,-12.3600,-11.6800,-8.5000,-9.2600,-9.4164
7,,,,-22.7260,,,,-12.6200,,,,,-0.7126,,,,,-0.9163,,,-3.7104,,,-4.7119,-4.5732,,,,,,,,,,,,,,,,,-9.5739,,,0.2560,4.6389,8.9439,,,,,,-19.1770,,,,,,,,,,-6.8472,,,,,-12.0200,-11.3400,-8.7000,-9.1200,-10.1568
8,,,,-22.4100,,,,-12.4500,,,,,-1.5404,,,,,-1.0220,,,-3.6713,,,-4.7113,-4.5458,,,,,,,,,,,,,,,,,-9.5676,,,0.1990,3.9667,8.7327,,,,,,-18.6880,,,,,,,,,,-6.9120,,,,,-11.6800,-11.0000,-8.9000,-8.9800,-10.8972
9,,,,-22.3040,,-24.0468,,-12.3200,,,-23.1542,,-2.3681,-2.7108,,,,-1.1277,,-18.5000,-3.6321,,,-4.7107,-4.5184,,,,,,,,,,,,,,,,,-9.5614,,,0.1420,3.2944,8.5214,,,,,,-17.9210,,,,,,,,,,-6.9178,,,,,-11.3400,-10.4200,-9.1000,-8.8400,-11.1047
10,,,,-22.1980,,-24.0584,-4.4000,-12.2800,,-22.8035,-23.1247,,-3.1958,-2.9276,,,,-1.2334,-21.0000,-18.3200,-3.5929,,,-4.7102,-4.4910,-0.9470,,,,,,,,,,,,,,,,-9.5552,,0.0000,0.0850,2.6222,8.3102,,,,,,-17.6810,,,-11.9300,-20.8843,,,,-27.3500,,-6.8764,,,,,-11.0000,-9.8400,-9.3000,-8.7000,-11.3123
